Scene1,Scene2,ParamSet,#Matches,#Inliers_H,#Inliers_F,InlierRatio_H,InlierRatio_F,ReprojError_H,meanSampson
1,2,1,702,293,351,0.4174,0.5000,0.6132,1522.7527
1,2,2,440,195,220,0.4432,0.5000,0.6420,40.8932
1,2,3,428,158,214,0.3692,0.5000,0.6128,94.9595
1,2,4,701,276,351,0.3937,0.5007,0.5717,1110.0406
2,3,1,1250,670,625,0.5360,0.5000,0.5335,214.6808
2,3,2,853,482,427,0.5651,0.5006,0.5278,29.8190
2,3,3,678,348,339,0.5133,0.5000,0.4977,4621.2007
2,3,4,1231,547,616,0.4444,0.5004,0.5186,991.7722
3,4,1,1277,699,639,0.5474,0.5004,0.5598,1597.7426
3,4,2,875,481,438,0.5497,0.5006,0.5217,361.4290
3,4,3,671,385,336,0.5738,0.5007,0.5049,452.3341
3,4,4,1206,568,603,0.4710,0.5000,0.6027,82.0893
